11,11,11,11,11,2,0,12,11|11,11,11,11,11,1,9,1,2|10,4|-1,-1|0|0|26531
2,13,13,13,13,0,1,13,12|12,0,11,11,11,1,1,2,3|22,8|-1,-1|0|1|22696
2,1,14,1,15,2,3,15,14|14,2,13,13,1,2,1,0,3|38,8|-1,-1|1|2|18938
3,2,15,2,16,0,3,15,14|14,2,1,14,2,3,2,1,4|38,11|-1,5|0|8|18928
4,3,16,3,16,0,3,15,1|15,3,2,15,3,4,3,2,5|38,11|-1,5|1|0|17094
8,1,19,6,18,0,0,1,1|0,5,4,17,5,6,5,1,1|41,23|0,5|0|0|10642
9,9,9,9,9,9,9,9,9|9,9,9,9,9,9,9,9,9|0,0|-1,-1|0|3|10351
1,2,20,7,19,0,1,2,1|0,5,4,17,5,6,5,1,1|41,24|0,5|1|1|10299
1,2,20,7,19,0,1,2,1|0,1,5,18,6,7,5,1,1|41,24|0,5|0|0|10298
9,9,9,1,10,10,10,10,10|10,10,0,9,9,9,9,9,9|10,0|-1,-1|1|8|7676
10,10,10,2,11,11,11,11,10|10,10,0,9,9,9,9,9,1|10,0|-1,-1|0|8|7142
10,10,10,10,10,0,1,10,10|10,10,10,10,10,0,1,10,10|10,10|-1,-1|0|8|5666
11,11,11,0,11,11,11,11,1|11,11,1,1,11,11,11,11,1|12,3|-1,3|0|0|5482
12,12,12,0,11,0,3,11,0|11,11,1,12,12,2,3,2,13|10,24|-1,-1|0|4|3740
12,12,12,0,1,1,4,12,1|12,12,2,13,13,0,3,2,13|13,24|5,-1|1|3|3732
2,13,13,0,13,13,12,12,1|13,0,1,1,1,12,12,12,2|24,5|-1,3|1|6|3679
5,4,17,4,17,0,3,15,1|1,4,3,16,4,5,4,3,6|38,12|-1,5|0|2|3202
13,13,1,2,3,3,6,13,2|13,13,3,2,15,0,4,3,14|15,24|5,-1|1|0|2952
3,14,14,0,14,14,13,13,0|13,0,1,1,1,12,1,13,3|24,8|-1,3|0|6|2952
14,14,2,0,3,3,6,13,2|1,14,4,3,16,0,5,4,15|16,27|5,3|0|4|2923
5,15,15,0,14,14,1,14,1|14,1,2,2,2,13,2,14,1|24,8|-1,3|0|1|2327
5,1,16,0,15,15,2,15,2|15,2,3,3,3,14,0,14,1|27,9|6,3|1|0|2325
6,2,17,0,16,0,2,15,1|0,3,4,4,4,15,0,15,2|30,26|6,3|1|2|2197
1,12,12,0,12,2,13,12,12|12,0,1,1,11,11,1,2,11|32,4|-1,3|1|5|1930
2,13,13,0,13,3,0,12,12|12,0,1,1,11,1,2,3,12|32,19|-1,3|0|1|1926
2,1,14,0,14,4,1,13,13|13,1,2,2,0,1,2,3,12|44,20|-1,3|1|5|1897
1,12,12,12,12,3,1,13,12|12,0,11,11,11,1,9,1,2|22,4|-1,-1|1|4|1741
14,14,2,0,1,4,1,14,3|1,16,5,0,16,0,5,4,15|20,27|5,3|1|8|1732
10,10,10,2,11,11,11,11,1|11,11,1,10,10,10,10,10,0|12,0|-1,-1|1|7|1551
6,2,17,0,16,0,2,15,1|0,3,1,5,5,16,0,15,2|30,26|6,3|0|1|1524
11,11,11,3,12,12,12,0,1|11,11,1,10,10,10,10,1,1|12,12|-1,-1|0|8|1515
11,11,11,3,12,12,12,0,0|0,11,1,10,10,10,10,1,1|24,12|-1,-1|1|8|1507
0,11,11,3,12,12,12,0,0|0,11,1,10,10,10,10,1,0|24,24|-1,-1|0|5|1503
